place,title,time,pay,date
광주 서구, 신세계 광주FS,10:00~20:30,,2시간전
인천 연수구, 나이키,10:30~22:00,,2시간전
충북 충주시, 나이키 충주점,10:30~21:30,,2시간전
경기 하남시, 신세계하남점 나이키 킥스라운지,10:30~21:00,,3시간전
인천 부평구, 부평,10:30~22:00,,3시간전
경기 하남시, 스타필드 신세계 하남 나이키,10:00~22:00,,3시간전
경기 하남시, 스타필드 하남 나이키,10:00~22:00,,4시간전
경기 하남시, 스타필드 하남 나이키,10:00~22:00,,4시간전
충남 천안시, 모다아울렛천안,11:00~21:00,,4시간전
경기 하남시, 스타필드 신세계 하남 나이키,10:00~22:00,,5시간전
경기 하남시, 스타필드 하남 나이키,10:00~22:00,,6시간전
인천 연수구, LF스퀘어(브이플러스) 나이키 연수점,10:30~21:00,,7시간전
경기 시흥시, 경기 시흥점,10:00~21:00,,11시간전
대구 동구, 신세계 동대구,10:00~20:30,,14시간전
경기 시흥시, 경기 시흥점,10:00~21:00,,01/31
광주 서구, 신세계 광주FS,10:00~20:30,,01/31
충남 천안시, 모다아울렛천안,11:00~21:00,,01/31
인천 연수구, 나이키,10:30~22:00,,01/30
경기 시흥시, 경기 시흥점,10:00~21:00,,01/29
경기 하남시, 스타필드 신세계 하남 나이키,10:00~22:00,,01/29
충남 천안시, 모다아울렛천안,11:00~21:00,,01/27
경기 안성시, (주)대연,10:00~20:00,,01/27
경기 용인시, 신세계 죽전,10:00~20:30,,01/26
경기 하남시, 스타필드 하남 나이키,10:00~22:00,,01/26
대구 동구, 신세계 동대구,10:00~20:30,,01/24
경기 시흥시, 경기 시흥점,10:00~21:00,,01/18
